DayOfWeek	Date	Time	Season	IndoorTemperature	OutdoorTemperature	Heat	Fan	AC	NumberOfPeople
Mon	1/1/17	1	Winter	28	10	on	off	on	2
Tue	1/2/17	1	Winter	22	10	on	off	on	2
Wed	1/3/17	1	Winter	22	-5	on	off	on	2
Thu	1/4/17	1	Winter	26	7	on	off	on	2
Fri	1/5/17	1	Winter	22	10	on	off	on	2
Sat	1/6/17	1	Winter	18	-6	on	off	on	2
Sun	1/7/17	1	Winter	26	-7	on	off	on	2
Mon	1/8/17	1	Winter	18	-10	on	off	on	2
Tue	1/9/17	1	Winter	24	-4	on	off	on	2
Wed	1/10/17	1	Winter	24	-5	on	off	on	2
Thu	1/11/17	1	Winter	28	-7	on	off	on	2
Fri	1/12/17	1	Winter	19	-6	on	off	on	2
Sat	1/13/17	1	Winter	23	-7	on	off	on	2
Sun	1/14/17	1	Winter	26	-8	on	off	on	2
Mon	1/15/17	1	Winter	15	4	on	off	on	2
Tue	1/16/17	1	Winter	18	4	on	off	on	2
Wed	1/17/17	1	Winter	26	-8	on	off	on	2
Thu	1/18/17	1	Winter	18	10	on	off	on	2
Fri	1/19/17	1	Winter	26	-5	on	off	on	2
Sat	1/20/17	1	Winter	27	-7	on	off	on	2
Sun	1/21/17	1	Winter	26	-2	on	off	on	2
Mon	1/22/17	1	Winter	26	6	on	off	on	2
Tue	1/23/17	1	Winter	23	3	on	off	on	2
Wed	1/24/17	1	Winter	26	6	on	off	on	2
Thu	1/25/17	1	Winter	25	1	on	off	on	2
Fri	1/26/17	1	Winter	25	2	on	off	on	2
Sat	1/27/17	1	Winter	16	-9	on	off	on	2
Sun	1/28/17	1	Winter	22	7	on	off	on	2
Mon	1/29/17	1	Winter	21	-7	on	off	on	2
Tue	1/30/17	1	Winter	21	2	on	off	on	2
Wed	1/31/17	1	Winter	19	-5	on	off	on	2
Thu	2/1/17	1	Winter	16	0	on	off	on	2
Fri	2/2/17	1	Winter	22	8	on	off	on	2
Sat	2/3/17	1	Winter	25	1	on	off	on	2
Sun	2/4/17	1	Winter	28	7	on	off	on	2
Mon	2/5/17	1	Winter	25	-9	on	off	on	2
Tue	2/6/17	1	Winter	23	-3	on	off	on	2
Wed	2/7/17	1	Winter	20	-5	on	off	on	2
Thu	2/8/17	1	Winter	25	8	on	off	on	2
Fri	2/9/17	1	Winter	23	2	on	off	on	2
Sat	2/10/17	1	Winter	25	-4	on	off	on	2
Sun	2/11/17	1	Winter	15	-9	on	off	on	2
Mon	2/12/17	1	Winter	27	0	on	off	on	2
Tue	2/13/17	1	Winter	17	-4	on	off	on	2
Wed	2/14/17	1	Winter	16	0	on	off	on	2
Thu	2/15/17	1	Winter	22	-5	on	off	on	2
Fri	2/16/17	1	Winter	25	-8	on	off	on	2
Sat	2/17/17	1	Winter	19	-9	on	off	on	2
Sun	2/18/17	1	Winter	17	8	on	off	on	2
Mon	2/19/17	1	Winter	24	3	on	off	on	2
Tue	2/20/17	1	Winter	20	8	on	off	on	2
Wed	2/21/17	1	Winter	16	-7	on	off	on	2
Thu	2/22/17	1	Winter	19	6	on	off	on	2
Fri	2/23/17	1	Winter	23	-7	on	off	on	2
Sat	2/24/17	1	Winter	27	5	on	off	on	2
Sun	2/25/17	1	Winter	19	-5	on	off	on	2
Mon	2/26/17	1	Winter	18	5	on	off	on	2
Tue	2/27/17	1	Winter	18	7	on	off	on	2
Wed	2/28/17	1	Winter	19	2	on	off	on	2
Thu	3/1/17	1	Winter	18	-9	on	off	on	2
Fri	3/2/17	1	Winter	27	3	on	off	on	2
Sat	3/3/17	1	Winter	16	9	on	off	on	2
Sun	3/4/17	1	Winter	24	10	on	off	on	2
Mon	3/5/17	1	Winter	27	8	on	off	on	2
Tue	3/6/17	1	Winter	23	8	on	off	on	2
Wed	3/7/17	1	Winter	23	6	on	off	on	2
Thu	3/8/17	1	Winter	24	6	on	off	on	2
Fri	3/9/17	1	Winter	24	-4	on	off	on	2
Sat	3/10/17	1	Winter	22	-6	on	off	on	2
Sun	3/11/17	1	Winter	23	2	on	off	on	2
Mon	3/12/17	1	Winter	26	2	on	off	on	2
Tue	3/13/17	1	Winter	16	9	on	off	on	2
Wed	3/14/17	1	Winter	16	-9	on	off	on	2
Thu	3/15/17	1	Winter	20	-4	on	off	on	2
Fri	3/16/17	1	Winter	23	1	on	off	on	2
Sat	3/17/17	1	Winter	22	9	on	off	on	2
Sun	3/18/17	1	Winter	16	8	on	off	on	2
Mon	3/19/17	1	Spring	22	7	on	off	on	2
Tue	3/20/17	1	Spring	23	3	on	off	on	2
Wed	3/21/17	1	Spring	18	7	on	off	on	2
Thu	3/22/17	1	Spring	25	7	on	off	on	2
Fri	3/23/17	1	Spring	19	2	on	off	on	2
Sat	3/24/17	1	Spring	23	-4	on	off	on	2
Sun	3/25/17	1	Spring	28	2	on	off	on	2
Mon	3/26/17	1	Spring	17	6	on	off	on	2
Tue	3/27/17	1	Spring	15	-7	on	off	on	2
Wed	3/28/17	1	Spring	24	7	on	off	on	2
Thu	3/29/17	1	Spring	21	4	on	off	on	2
Fri	3/30/17	1	Spring	23	-10	on	off	on	2
Sat	3/31/17	1	Spring	18	-5	on	off	on	2
Sun	4/1/17	1	Spring	19	8	on	off	on	2
Mon	4/2/17	1	Spring	18	3	on	on	on	2
Tue	4/3/17	1	Spring	21	10	on	off	on	2
Wed	4/4/17	1	Spring	25	9	on	off	on	2
Thu	4/5/17	1	Spring	23	4	on	off	on	2
Fri	4/6/17	1	Spring	19	8	on	on	on	2
Sat	4/7/17	1	Spring	24	7	on	on	on	2
Sun	4/8/17	1	Spring	16	11	on	off	on	2
Mon	4/9/17	1	Spring	19	3	on	off	on	2
Tue	4/10/17	1	Spring	22	5	on	off	on	2
